,0
1729,8.7
1730,15.3
1731,19.6
1732,23.1
1733,25.6
1734,30.1
1735,32.1
1736,26.8
1737,20.9
1738,17.2
1739,11.2
1740,2.4
1741,2.4
1742,8.0
1743,12.6
1744,16.0
1745,19.8
1746,25.0
1747,26.4
1748,21.6
1749,15.2
1750,10.9
1751,6.7
1752,58.0
1753,86.6
1754,118.0
1755,112.5
1756,98.8
1757,211.1
1758,48.7
1759,376.5
1760,187.7
1761,347.0
1762,28.6
1763,96.0
1764,8.9
1765,10.2
1766,14.4
1767,18.4
1768,23.8
1769,25.1
1770,27.9
1771,30.6
1772,26.6
1773,22.6
1774,18.3
1775,12.5
1776,4.3
1777,4.8
1778,7.6
1779,11.9
1780,16.6
1781,19.0
1782,23.2
1783,25.5
1784,21.9
1785,17.0
1786,11.5
1787,6.9
1788,24.2
1789,37.9
1790,55.5
1791,46.4
1792,42.8
1793,145.8
1794,510.1
1795,242.3
1796,610.6
1797,188.6
1798,27.5
1799,48.2
